runId,scheduler,noPatrons,switchTime,seed,patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
HRRN_10_42,HRRN,10,5,42,0,White Wine,25,357,358,388,1,1,31,0
HRRN_10_42,HRRN,10,5,42,0,Cider,25,543,545,572,2,2,29,0
HRRN_10_42,HRRN,10,5,42,1,Cider,25,578,578,609,0,0,31,0
HRRN_10_42,HRRN,10,5,42,0,B52,200,674,675,880,1,1,206,0
HRRN_10_42,HRRN,10,5,42,1,Tequila shot,20,714,887,912,173,173,198,0
HRRN_10_42,HRRN,10,5,42,2,Bloody Mary,70,779,918,994,139,139,215,0
HRRN_10_42,HRRN,10,5,42,0,White Wine,25,892,1000,1027,108,108,135,0
HRRN_10_42,HRRN,10,5,42,1,Martini,60,916,1033,1098,117,117,182,0
HRRN_10_42,HRRN,10,5,42,2,Red Wine,25,1146,1146,1176,0,0,30,0
HRRN_10_42,HRRN,10,5,42,0,Martini,60,1181,1183,1248,2,2,67,0
HRRN_10_42,HRRN,10,5,42,1,Beer,25,1214,1255,1285,41,41,71,0
HRRN_10_42,HRRN,10,5,42,2,Beer,25,1331,1332,1362,1,1,31,0
HRRN_10_42,HRRN,10,5,42,0,Gin and Tonic,40,1362,1369,1411,7,7,49,0
HRRN_10_42,HRRN,10,5,42,1,Mojito,75,1390,1418,1498,28,28,108,0
HRRN_10_42,HRRN,10,5,42,2,Margarita,75,1468,1505,1584,37,37,116,0
HRRN_10_42,HRRN,10,5,42,1,Beer,25,1613,1614,1641,1,1,28,0
HRRN_10_42,HRRN,10,5,42,3,Gin and Tonic,40,1718,1719,1763,1,1,45,0
HRRN_10_42,HRRN,10,5,42,1,Tequila shot,20,1746,1770,1795,24,24,49,0
HRRN_10_42,HRRN,10,5,42,1,Pina Colada,100,1799,1802,1907,3,3,108,0
HRRN_10_42,HRRN,10,5,42,3,B52,200,1878,1914,2119,36,36,241,0
HRRN_10_42,HRRN,10,5,42,3,White Wine,25,2132,2132,2162,0,0,30,0
HRRN_10_42,HRRN,10,5,42,3,Pina Colada,100,2318,2318,2423,0,0,105,0
HRRN_10_42,HRRN,10,5,42,4,Margarita,75,2427,2431,2511,4,4,84,0
HRRN_10_42,HRRN,10,5,42,3,Cider,25,2551,2552,2579,1,1,28,0
HRRN_10_42,HRRN,10,5,42,4,Martini,60,2597,2597,2662,0,0,65,0
HRRN_10_42,HRRN,10,5,42,3,Gin and Tonic,40,2684,2685,2730,1,1,46,0
HRRN_10_42,HRRN,10,5,42,3,Bloody Mary,70,2846,2846,2921,0,0,75,0
HRRN_10_42,HRRN,10,5,42,5,Pina Colada,100,3033,3034,3138,1,1,105,0
HRRN_10_42,HRRN,10,5,42,6,Draft Beer,50,3209,3209,3264,0,0,55,0
HRRN_10_42,HRRN,10,5,42,5,Gin and Tonic,40,3264,3271,3316,7,7,52,0
HRRN_10_42,HRRN,10,5,42,6,Bloody Mary,70,3369,3371,3442,2,2,73,0
HRRN_10_42,HRRN,10,5,42,7,Gin and Tonic,40,3384,3449,3490,65,65,106,0
HRRN_10_42,HRRN,10,5,42,6,White Wine,25,3594,3595,3625,1,1,31,0
HRRN_10_42,HRRN,10,5,42,7,White Wine,25,3605,3632,3662,27,27,57,0
HRRN_10_42,HRRN,10,5,42,8,Beer,25,3719,3719,3746,0,0,27,0
HRRN_10_42,HRRN,10,5,42,6,Beer,25,3780,3781,3811,1,1,31,0
HRRN_10_42,HRRN,10,5,42,7,Mojito,75,3817,3818,3898,1,1,81,0
HRRN_10_42,HRRN,10,5,42,8,Pina Colada,100,3849,3905,4010,56,56,161,0
HRRN_10_42,HRRN,10,5,42,6,Pina Colada,100,3912,4018,4122,106,106,210,0
HRRN_10_42,HRRN,10,5,42,9,Cosmopolitan,65,4235,4235,4305,0,0,70,0
HRRN_10_42,HRRN,10,5,42,9,B52,200,4359,4359,4565,0,0,206,0
HRRN_10_42,HRRN,10,5,42,9,Bloody Mary,70,4578,4579,4654,1,1,76,0
HRRN_10_123,HRRN,10,5,123,0,Beer,25,1471,1472,1497,1,1,26,0
HRRN_10_123,HRRN,10,5,123,0,White Wine,25,1598,1599,1629,1,1,31,0
HRRN_10_123,HRRN,10,5,123,1,Margarita,75,1698,1699,1778,1,1,80,0
HRRN_10_123,HRRN,10,5,123,0,B52,200,1782,1786,1988,4,4,206,0
HRRN_10_123,HRRN,10,5,123,1,Tequila shot,20,1864,1996,2021,132,132,157,0
HRRN_10_123,HRRN,10,5,123,1,Beer,25,2025,2028,2055,3,3,30,0
HRRN_10_123,HRRN,10,5,123,1,Cosmopolitan,65,2161,2161,2231,0,0,70,0
HRRN_10_123,HRRN,10,5,123,2,Draft Beer,50,2282,2282,2338,0,0,56,0
HRRN_10_123,HRRN,10,5,123,1,White Wine,25,2283,2345,2375,62,62,92,0
HRRN_10_123,HRRN,10,5,123,3,Pina Colada,100,2345,2382,2485,37,37,140,0
HRRN_10_123,HRRN,10,5,123,2,Gin and Tonic,40,2444,2492,2537,48,48,93,0
HRRN_10_123,HRRN,10,5,123,4,B52,200,2422,2545,2746,123,123,324,0
HRRN_10_123,HRRN,10,5,123,1,Beer,25,2531,2754,2784,223,223,253,0
HRRN_10_123,HRRN,10,5,123,5,White Wine,25,2545,2792,2822,247,247,277,0
HRRN_10_123,HRRN,10,5,123,3,Draft Beer,50,2610,2828,2881,218,218,271,0
HRRN_10_123,HRRN,10,5,123,4,Cosmopolitan,65,2759,2888,2958,129,129,199,0
HRRN_10_123,HRRN,10,5,123,1,White Wine,25,2890,2964,2991,74,74,101,0
HRRN_10_123,HRRN,10,5,123,6,White Wine,25,2957,2997,3025,40,40,68,0
HRRN_10_123,HRRN,10,5,123,3,Gin and Tonic,40,2985,3032,3076,47,47,91,0
HRRN_10_123,HRRN,10,5,123,4,Beer,25,3013,3082,3112,69,69,99,0
HRRN_10_123,HRRN,10,5,123,5,Cosmopolitan,65,2977,3120,3186,143,143,209,0
HRRN_10_123,HRRN,10,5,123,1,Mojito,75,3147,3193,3273,46,46,126,0
HRRN_10_123,HRRN,10,5,123,3,White Wine,25,3192,3281,3311,89,89,119,0
HRRN_10_123,HRRN,10,5,123,6,Gin and Tonic,40,3180,3318,3363,138,138,183,0
HRRN_10_123,HRRN,10,5,123,5,Martini,60,3238,3370,3434,132,132,196,0
HRRN_10_123,HRRN,10,5,123,3,Martini,60,3467,3467,3532,0,0,65,0
HRRN_10_123,HRRN,10,5,123,6,Pina Colada,100,3475,3538,3641,63,63,166,0
HRRN_10_123,HRRN,10,5,123,5,Vodka shot,20,3549,3648,3672,99,99,123,0
HRRN_10_123,HRRN,10,5,123,7,Draft Beer,50,3532,3679,3731,147,147,199,0
HRRN_10_123,HRRN,10,5,123,3,Red Wine,25,3647,3737,3763,90,90,116,0
HRRN_10_123,HRRN,10,5,123,5,Vodka shot,20,3676,3770,3794,94,94,118,0
HRRN_10_123,HRRN,10,5,123,6,Beer,25,3764,3802,3831,38,38,67,0
HRRN_10_123,HRRN,10,5,123,5,Tequila shot,20,3799,3838,3859,39,39,60,0
HRRN_10_123,HRRN,10,5,123,5,Cider,25,3863,3866,3892,3,3,29,0
HRRN_10_123,HRRN,10,5,123,3,Mojito,75,3916,3917,3997,1,1,81,0
HRRN_10_123,HRRN,10,5,123,8,Tequila shot,20,4034,4034,4054,0,0,20,0
HRRN_10_123,HRRN,10,5,123,8,Pina Colada,100,4059,4062,4165,3,3,106,0
HRRN_10_123,HRRN,10,5,123,9,Cosmopolitan,65,4063,4172,4242,109,109,179,0
HRRN_10_123,HRRN,10,5,123,8,White Wine,25,4291,4292,4322,1,1,31,0
HRRN_10_123,HRRN,10,5,123,9,Vodka shot,20,4297,4329,4351,32,32,54,0
HRRN_10_123,HRRN,10,5,123,8,Pina Colada,100,4477,4478,4581,1,1,104,0
HRRN_10_456,HRRN,10,5,456,0,Martini,60,214,215,280,1,1,66,0
HRRN_10_456,HRRN,10,5,456,0,Bloody Mary,70,396,396,471,0,0,75,0
HRRN_10_456,HRRN,10,5,456,0,White Wine,25,627,627,657,0,0,30,0
HRRN_10_456,HRRN,10,5,456,0,Beer,25,808,809,839,1,1,31,0
HRRN_10_456,HRRN,10,5,456,1,Vodka shot,20,823,846,869,23,23,46,0
HRRN_10_456,HRRN,10,5,456,1,Mojito,75,873,875,951,2,2,78,0
HRRN_10_456,HRRN,10,5,456,2,Draft Beer,50,903,959,1011,56,56,108,0
HRRN_10_456,HRRN,10,5,456,0,Cosmopolitan,65,944,1019,1089,75,75,145,0
HRRN_10_456,HRRN,10,5,456,1,Vodka shot,20,1067,1096,1121,29,29,54,0
HRRN_10_456,HRRN,10,5,456,3,Cider,25,1106,1127,1154,21,21,48,0
