runId,scheduler,noPatrons,switchTime,seed,patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
PRIORITY_10_42,PRIORITY,10,5,42,0,White Wine,25,352,353,383,1,1,31,0
PRIORITY_10_42,PRIORITY,10,5,42,0,Cider,25,539,539,569,0,0,30,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Cider,25,581,581,610,0,0,29,0
PRIORITY_10_42,PRIORITY,10,5,42,0,B52,200,675,675,880,0,0,205,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Tequila shot,20,715,887,912,172,172,197,0
PRIORITY_10_42,PRIORITY,10,5,42,0,White Wine,25,893,920,950,27,27,57,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Martini,60,917,957,1021,40,40,104,0
PRIORITY_10_42,PRIORITY,10,5,42,2,Bloody Mary,70,780,1028,1099,248,248,319,0
PRIORITY_10_42,PRIORITY,10,5,42,0,Red Wine,25,1105,1107,1135,2,2,30,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Martini,60,1137,1141,1206,4,4,69,0
PRIORITY_10_42,PRIORITY,10,5,42,2,Beer,25,1252,1252,1282,0,0,30,0
PRIORITY_10_42,PRIORITY,10,5,42,0,Beer,25,1287,1289,1315,2,2,28,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Gin and Tonic,40,1321,1321,1365,0,0,44,0
PRIORITY_10_42,PRIORITY,10,5,42,2,Mojito,75,1383,1383,1459,0,0,76,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Margarita,75,1480,1480,1558,0,0,78,0
PRIORITY_10_42,PRIORITY,10,5,42,2,Beer,25,1573,1573,1600,0,0,27,0
PRIORITY_10_42,PRIORITY,10,5,42,1,Gin and Tonic,40,1640,1640,1685,0,0,45,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Tequila shot,20,1720,1720,1743,0,0,23,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Pina Colada,100,1748,1751,1856,3,3,108,0
PRIORITY_10_42,PRIORITY,10,5,42,1,B52,200,1800,1864,2069,64,64,269,0
PRIORITY_10_42,PRIORITY,10,5,42,3,White Wine,25,1980,2076,2103,96,96,123,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Pina Colada,100,2258,2259,2364,1,1,106,0
PRIORITY_10_42,PRIORITY,10,5,42,4,Margarita,75,2427,2427,2506,0,0,79,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Cider,25,2489,2513,2542,24,24,53,0
PRIORITY_10_42,PRIORITY,10,5,42,4,Martini,60,2591,2591,2654,0,0,63,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Gin and Tonic,40,2648,2662,2707,14,14,59,0
PRIORITY_10_42,PRIORITY,10,5,42,3,Bloody Mary,70,2822,2822,2897,0,0,75,0
PRIORITY_10_42,PRIORITY,10,5,42,5,Pina Colada,100,3030,3031,3136,1,1,106,0
PRIORITY_10_42,PRIORITY,10,5,42,6,Draft Beer,50,3209,3209,3264,0,0,55,0
PRIORITY_10_42,PRIORITY,10,5,42,5,Gin and Tonic,40,3262,3271,3316,9,9,54,0
PRIORITY_10_42,PRIORITY,10,5,42,6,Bloody Mary,70,3369,3369,3444,0,0,75,0
PRIORITY_10_42,PRIORITY,10,5,42,7,Gin and Tonic,40,3385,3451,3494,66,66,109,0
PRIORITY_10_42,PRIORITY,10,5,42,6,White Wine,25,3600,3600,3630,0,0,30,0
