runId,scheduler,noPatrons,switchTime,seed,patronID,drinkName,executionTime,arrivalTime,serviceStartTime,completionTime,waitingTime,responseTime,turnaroundTime,queueLevel
SJF_10_42,SJF,10,5,42,0,White Wine,25,353,353,381,0,0,28,0
SJF_10_42,SJF,10,5,42,0,Cider,25,537,537,567,0,0,30,0
SJF_10_42,SJF,10,5,42,1,Cider,25,580,580,610,0,0,30,0
SJF_10_42,SJF,10,5,42,0,B52,200,672,673,878,1,1,206,0
SJF_10_42,SJF,10,5,42,1,Tequila shot,20,715,885,910,170,170,195,0
SJF_10_42,SJF,10,5,42,0,White Wine,25,891,916,946,25,25,55,0
SJF_10_42,SJF,10,5,42,1,Martini,60,914,953,1017,39,39,103,0
SJF_10_42,SJF,10,5,42,2,Bloody Mary,70,779,1024,1098,245,245,319,0
SJF_10_42,SJF,10,5,42,0,Red Wine,25,1102,1105,1135,3,3,33,0
SJF_10_42,SJF,10,5,42,1,Martini,60,1133,1142,1207,9,9,74,0
SJF_10_42,SJF,10,5,42,2,Beer,25,1253,1253,1281,0,0,28,0
SJF_10_42,SJF,10,5,42,0,Beer,25,1290,1291,1319,1,1,29,0
SJF_10_42,SJF,10,5,42,1,Gin and Tonic,40,1322,1326,1367,4,4,45,0
SJF_10_42,SJF,10,5,42,2,Mojito,75,1387,1387,1467,0,0,80,0
SJF_10_42,SJF,10,5,42,1,Margarita,75,1481,1481,1561,0,0,80,0
SJF_10_42,SJF,10,5,42,2,Beer,25,1583,1583,1613,0,0,30,0
SJF_10_42,SJF,10,5,42,1,Gin and Tonic,40,1647,1647,1692,0,0,45,0
SJF_10_42,SJF,10,5,42,3,Tequila shot,20,1717,1717,1739,0,0,22,0
SJF_10_42,SJF,10,5,42,3,Pina Colada,100,1743,1745,1848,2,2,105,0
SJF_10_42,SJF,10,5,42,1,B52,200,1806,1855,2059,49,49,253,0
SJF_10_42,SJF,10,5,42,3,White Wine,25,1972,2064,2095,92,92,123,0
SJF_10_42,SJF,10,5,42,3,Pina Colada,100,2250,2250,2355,0,0,105,0
SJF_10_42,SJF,10,5,42,4,Margarita,75,2428,2428,2508,0,0,80,0
SJF_10_42,SJF,10,5,42,3,Cider,25,2478,2515,2545,37,37,67,0
SJF_10_42,SJF,10,5,42,4,Martini,60,2591,2591,2656,0,0,65,0
SJF_10_42,SJF,10,5,42,3,Gin and Tonic,40,2648,2663,2705,15,15,57,0
SJF_10_42,SJF,10,5,42,3,Bloody Mary,70,2821,2821,2892,0,0,71,0
SJF_10_42,SJF,10,5,42,5,Pina Colada,100,3033,3033,3135,0,0,102,0
SJF_10_42,SJF,10,5,42,6,Draft Beer,50,3209,3209,3263,0,0,54,0
SJF_10_42,SJF,10,5,42,5,Gin and Tonic,40,3261,3270,3311,9,9,50,0
SJF_10_42,SJF,10,5,42,6,Bloody Mary,70,3369,3369,3444,0,0,75,0
SJF_10_42,SJF,10,5,42,7,Gin and Tonic,40,3384,3451,3496,67,67,112,0
SJF_10_42,SJF,10,5,42,6,White Wine,25,3598,3598,3627,0,0,29,0
SJF_10_42,SJF,10,5,42,7,White Wine,25,3610,3634,3664,24,24,54,0
SJF_10_42,SJF,10,5,42,8,Beer,25,3715,3715,3745,0,0,30,0
SJF_10_42,SJF,10,5,42,6,Beer,25,3782,3782,3812,0,0,30,0
SJF_10_42,SJF,10,5,42,7,Mojito,75,3815,3818,3898,3,3,83,0
SJF_10_42,SJF,10,5,42,8,Pina Colada,100,3850,3905,4006,55,55,156,0
SJF_10_42,SJF,10,5,42,6,Pina Colada,100,3917,4013,4118,96,96,201,0
SJF_10_42,SJF,10,5,42,9,Cosmopolitan,65,4231,4231,4301,0,0,70,0
SJF_10_42,SJF,10,5,42,9,B52,200,4357,4357,4562,0,0,205,0
SJF_10_42,SJF,10,5,42,9,Bloody Mary,70,4575,4575,4650,0,0,75,0
